phrase,language,literal_translation,actual_meaning,cultural_translation
Rank and File,en,रँक आणि फाईल,"ordinary people or common members of a group, not the leaders.",सामान्य कार्यकर्ते / सामान्य सदस्य
By fits and starts,en,"अखंडपणे नाही, तर थांबत थांबत","irregularly, not smoothly, with frequent stops and sudden efforts","अधूनमधून, तुटकपणे"
A wee bit,en,थोडेसे,a very small amount; just a little,थोडंसं
Out of the wood,en,लाकडाच्या बाहेर,out of danger or difficulty; past the worst part,धोक्याबाहेर आला/आली आहे
Under his thumb,en,त्याच्या अंगठ्याखाली,"completely controlled or dominated by someone, usually in a personal or work relationship",त्याच्या नियंत्रणाखाली / त्याच्या ताब्यात
At one’s wits end,en,बुद्धीच्या टोकावर,"extremely worried, frustrated, or confused, not knowing what to do next",थकल्याशा/असहाय्य अवस्थेत
Between the devil and the deep sea,en,सैतान आणि खोल समुद्राच्या मध्ये,faced with two dangerous or unpleasant options; in a dilemma,असहाय्य परिस्थितीत / दोन वाईट पर्यायांमध्ये अडकलेला
Burn the midnight oil,en,रात्री उशिरापर्यंत काम करणे,"to work late into the night, usually studying or working hard",उशिरापर्यंत मेहनत करणे / काम करणे
Call a spade a spade,en,स्पष्टपणे बोला,"to speak honestly and directly, even if it’s unpleasant",चुकलं तर थेट सांगणे
Come off with flying colors,en,उत्कृष्ट यश मिळवा,to succeed brilliantly or achieve something with great success,मोठ्या यशाने पूर्ण करणे / यशस्वी होणे
Hoping against hope,en,आशेचा कोणताही आधार नसतानाही आशा करणे,to continue hoping for something even when it seems very unlikely to happen,असाही काही तरी होईल अशी आशा ठेवणे
Hit the nail on the head,en,नेमका मुद्दा पकडला,to say or do something exactly right; to describe a situation accurately,अचूक निदान करणे / योग्य ठिकाणी बोलणे
An axe to grind,en,वैयक्तिक स्वार्थ,"having a hidden personal motive, bias, or self-interest behind what one says or does",स्वार्थी हेतू असणे
To get rid of,en,पासून सुटका मिळवण्यासाठी,"to remove, discard, eliminate, or free oneself from someone or something unwanted",सुटका करून घेणे
At daggers drawn,en,तलवारीने काढलेले,in a state of open hostility; ready to fight or strongly opposed,एकमेकांशी उघड शत्रुत्वात असणे
To play ducks and drakes,en,बेशिस्तपणे वागणे,to waste money or resources recklessly; to spend carelessly,पैशांची उधळपट्टी करणे
To take the bull by the horns,en,समस्येला थेट सामोरे जाणे,to face a difficult or dangerous situation boldly and directly,धाडसाने परिस्थितीला सामोरे जाणे
Rain cats and dogs,en,मुसळधार पाऊस पडणे,to rain very heavily,मुसळधार पाऊस पडणे
To move heaven and earth,en,आकाशपाताळ एक करणे,to make every possible effort; to try extremely hard to achieve something,जिवापाड मेहनत करणे
No avail,en,कोणताही फायदा नाही,without any success; useless; not producing the desired result,काहीच उपयोग झाला नाही
Bark up the wrong tree,en,चुकीच्या दिशेने प्रयत्न करणे,to be mistaken; to accuse or pursue the wrong person or idea,चुकीच्या दिशेने विचार/प्रयत्न करणे
Keep one at bay,en,एकाला दूर ठेवा,to prevent someone or something from approaching or causing harm; to hold off,दूर ठेवणे
Make a clean breast of it,en,सर्व काही स्पष्टपणे सांगा,to confess fully; to tell the whole truth without hiding anything,संपूर्ण सत्य कबूल करणे
Have a card up one’s sleeve,en,आपल्या बाहीमध्ये एक पत्ता असणे,"to have a secret plan, hidden advantage, or something kept in reserve to use later",गुप्त योजना मनात ठेवलेली असणे
Like a cat on hot bricks,en,गरम विटांवर मांजरीसारखे,"very restless, nervous, or unable to stay calm (usually due to anxiety or tension)",अस्वस्थपणे इकडे-तिकडे फिरणे
Cat and dog life,en,मांजर आणि कुत्र्याचे जीवन,a life full of constant quarrels and conflicts; always fighting,कधीही न पटणारं सहवासाचं आयुष्य
Cock and bull story,en,कोंबडी आणि बैलाची गोष्ट,"a false, exaggerated, or unbelievable story; complete nonsense",मनगटावरची गोष्ट / खोटी गोष्ट
Cry for the moon,en,चंद्रासाठी रडणे,to ask for or desire something that is impossible or unattainable,असंभव गोष्टीची मागणी करणे
The pros and cons,en,फायदे आणि तोटे,the advantages and disadvantages of something; the positive and negative aspects,फायदे आणि तोटे
Be in a tight corner,en,कठीण परिस्थितीत असणे,"to be in a difficult, awkward, or challenging situation",अडचणीत असणे
Cross one’s t’s and dot,en,टी अक्षरावर आडवी रेषा काढा आणि आय अक्षरावर टिंब द्या.,to pay great attention to detail; to do something very carefully and thoroughly,काळजीपूर्वक प्रत्येक गोष्ट पूर्ण करणे
